Entry	Entry name	Protein names	Gene names	Cross-reference (RefSeq)
B8I168	RL35_RUMCH	50S ribosomal protein L35	rpmI Ccel_1312	WP_015924814.1;
B8I7X9	RL3_RUMCH	50S ribosomal protein L3	rplC Ccel_0758	WP_015924301.1;
B8I7Y0	RL4_RUMCH	50S ribosomal protein L4	rplD Ccel_0759	WP_015924302.1;
B8I1A8	RNPH_RUMCH	Ribonuclease PH (RNase PH) (EC 2.7.7.56) (tRNA nucleotidyltransferase)	rph Ccel_1352	WP_015924854.1;
B8I442	DER_RUMCH	GTPase Der (GTP-binding protein EngA)	der engA Ccel_2131	WP_015925575.1;
B8I164	METAA_RUMCH	Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA)	metAA Ccel_3331	WP_015926672.1;
B8I6C2	MINC_RUMCH	Probable septum site-determining protein MinC	minC Ccel_2559	WP_015925974.1;
B8I7T6	RL19_RUMCH	50S ribosomal protein L19	rplS Ccel_0714	WP_015924260.1;
B8I4B5	RL9_RUMCH	50S ribosomal protein L9	rplI Ccel_0081	WP_012634535.1;
B8I770	PYRC_RUMCH	Dihydroorotase (DHOase) (EC 3.5.2.3)	pyrC Ccel_0613	WP_015924163.1;
B8I1M9	RL31_RUMCH	50S ribosomal protein L31	rpmE Ccel_3375	WP_015926716.1;
B8I7Y8	RS17_RUMCH	30S ribosomal protein S17	rpsQ Ccel_0767	WP_015924310.1;
B8I5B5	RL11_RUMCH	50S ribosomal protein L11	rplK Ccel_0308	WP_012634760.1;
B8I262	RSGA_RUMCH	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	rsgA Ccel_1536	WP_015925029.1;
B8I1A3	RUVA_RUMCH	Holliday junction ATP-dependent DNA helicase RuvA (EC 3.6.4.12)	ruvA Ccel_1347	WP_015924849.1;
B8I259	RLMN_RUMCH	Probable dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN Ccel_1533	WP_015925026.1;
B8I2Z2	PAND_RUMCH	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD Ccel_1785	WP_015925250.1;
B8I805	RS13_RUMCH	30S ribosomal protein S13	rpsM Ccel_0784	WP_015924324.1;
B8I7Z2	RS14Z_RUMCH	30S ribosomal protein S14 type Z	rpsZ rpsN Ccel_0771	WP_015924314.1;
B8I1G8	MNTP_RUMCH	Putative manganese efflux pump MntP	mntP Ccel_1412	WP_015924911.1;
B8I7Y1	RL23_RUMCH	50S ribosomal protein L23	rplW Ccel_0760	WP_015924303.1;
B8I7T4	RIMM_RUMCH	Ribosome maturation factor RimM	rimM Ccel_0712	WP_015924258.1;
B8I754	SEPF_RUMCH	Cell division protein SepF	sepF Ccel_0597	WP_015924147.1;
B8I815	RL13_RUMCH	50S ribosomal protein L13	rplM Ccel_0794	WP_015924334.1;
B8I7Y7	RL29_RUMCH	50S ribosomal protein L29	rpmC Ccel_0766	WP_015924309.1;
B8I445	RL32_RUMCH	50S ribosomal protein L32	rpmF Ccel_2134	WP_004622625.1;
B8I562	RF1_RUMCH	Peptide chain release factor 1 (RF-1)	prfA Ccel_0255	WP_012634707.1;
B8I7Z4	RL6_RUMCH	50S ribosomal protein L6	rplF Ccel_0773	WP_015924316.1;
B8I2Z7	RPOZ_RUMCH	DNA-directed RNA polymerase subunit omega (RNAP omega subunit) (EC 2.7.7.6) (RNA polymerase omega subunit) (Transcriptase subunit omega)	rpoZ Ccel_1790	WP_015925255.1;
B8I2Z6	SYG_RUMCH	Glycine--tRNA ligase (EC 6.1.1.14) (Glycyl-tRNA synthetase) (GlyRS)	glyQS Ccel_1789	WP_015925254.1;
B8I551	RECR_RUMCH	Recombination protein RecR	recR Ccel_0244	WP_012634696.1;
B8I6T0	PROA_RUMCH	Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase) (GSA dehydrogenase)	proA Ccel_2594	WP_015926009.1;
B8I1P0	RLMH_RUMCH	Ribosomal RNA large subunit methyltransferase H (EC 2.1.1.177) (23S rRNA (pseudouridine1915-N3)-methyltransferase) (23S rRNA m3Psi1915 methyltransferase) (rRNA (pseudouridine-N3-)-methyltransferase RlmH)	rlmH Ccel_3387	WP_015926727.1;
B8I3K7	RISB_RUMCH	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribH Ccel_2003	WP_015925454.1;
B8I7Y2	RL2_RUMCH	50S ribosomal protein L2	rplB Ccel_0761	WP_015924304.1;
B8I816	RS9_RUMCH	30S ribosomal protein S9	rpsI Ccel_0795	WP_015924335.1;
B8I808	RPOA_RUMCH	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA Ccel_0787	WP_015924327.1;
B8I7X8	RS10_RUMCH	30S ribosomal protein S10	rpsJ Ccel_0757	WP_004620876.1;
B8I598	PYRG_RUMCH	CTP synthase (EC 6.3.4.2) (Cytidine 5'-triphosphate synthase) (Cytidine triphosphate synthetase) (CTP synthetase) (CTPS) (UTP--ammonia ligase)	pyrG Ccel_0291	WP_012634743.1;
B8I7Y6	RL16_RUMCH	50S ribosomal protein L16	rplP Ccel_0765	WP_015924308.1;
B8I2T4	MURD_RUMCH	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD Ccel_1726	WP_015925192.1;
B8I807	RS4_RUMCH	30S ribosomal protein S4	rpsD Ccel_0786	WP_015924326.1;
B8I3F1	SYD_RUMCH	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS Ccel_1946	WP_015925398.1;
B8I7T5	TRMD_RUMCH	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD Ccel_0713	WP_015924259.1;
B8I2T0	Y1722_RUMCH	UPF0210 protein Ccel_1722	Ccel_1722	WP_015925188.1;
B8I490	PUR9_RUMCH	Bifunctional purine biosynthesis protein PurH [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (AICAR transformylase); IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]	purH Ccel_2181	WP_015925618.1;
B8I7Z8	RL15_RUMCH	50S ribosomal protein L15	rplO Ccel_0777	WP_015924319.1;
B8I7Z1	RL5_RUMCH	50S ribosomal protein L5	rplE Ccel_0770	WP_015924313.1;
B8I7Y9	RL14_RUMCH	50S ribosomal protein L14	rplN Ccel_0768	WP_015924311.1;
B8I809	RL17_RUMCH	50S ribosomal protein L17	rplQ Ccel_0788	WP_015924328.1;
B8I298	SFSA_RUMCH	Sugar fermentation stimulation protein homolog	sfsA Ccel_3473	WP_015926813.1;
B8I303	PRMA_RUMCH	Ribosomal protein L11 methyltransferase (L11 Mtase) (EC 2.1.1.-)	prmA Ccel_1796	WP_015925261.1;
B8I6M0	TGT_RUMCH	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt Ccel_0530	WP_015924085.1;
B8I7Z5	RL18_RUMCH	50S ribosomal protein L18	rplR Ccel_0774	WP_015924317.1;
B8I3I4	RS20_RUMCH	30S ribosomal protein S20	rpsT Ccel_1979	WP_015925431.1;
B8I7Y3	RS19_RUMCH	30S ribosomal protein S19	rpsS Ccel_0762	WP_015924305.1;
B8I8V6	Y2994_RUMCH	UPF0178 protein Ccel_2994	Ccel_2994	WP_015926347.1;
B8I5A9	ILVD_RUMCH	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	ilvD Ccel_0302	WP_012634754.1;
B8I4X3	Y2290_RUMCH	Nucleotide-binding protein Ccel_2290	Ccel_2290	WP_015925719.1;
B8I2B5	RL34_RUMCH	50S ribosomal protein L34	rpmH Ccel_3491	WP_004619013.1;
B8I5N5	RS12_RUMCH	30S ribosomal protein S12	rpsL Ccel_0315	WP_012634767.1;
B8I406	RS21_RUMCH	30S ribosomal protein S21	rpsU Ccel_2094	WP_004622093.1;
B8I814	TRUA_RUMCH	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA Ccel_0793	WP_015924333.1;
B8I769	PYRB_RUMCH	Aspartate carbamoyltransferase (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB Ccel_0612	WP_015924162.1;
B8I8G4	SSRP_RUMCH	SsrA-binding protein (Small protein B)	smpB Ccel_0819	WP_015924359.1;
B8I4S8	Y2240_RUMCH	UPF0297 protein Ccel_2240	Ccel_2240	WP_015925674.1;
B8I2R6	RS15_RUMCH	30S ribosomal protein S15	rpsO Ccel_1708	WP_015925174.1;
B8I6U9	PSD_RUMCH	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd Ccel_2613	WP_015926028.1;
B8I1G1	XPT_RUMCH	Xanthine phosphoribosyltransferase (XPRTase) (EC 2.4.2.22)	xpt Ccel_1405	WP_015924904.1;
B8I4S7	YQGF_RUMCH	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	Ccel_2239	WP_015925673.1;
B8I0V0	TRPC_RUMCH	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC Ccel_3216	WP_015926564.1;
B8I004	UPPP_RUMCH	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP Ccel_1147	WP_015924659.1;
B8I3R5	RECF_RUMCH	DNA replication and repair protein RecF	recF Ccel_0004	WP_012634459.1;
B8I4L5	Y181_RUMCH	Probable transcriptional regulatory protein Ccel_0181	Ccel_0181	WP_012634634.1;
B8I2A5	NADA_RUMCH	Quinolinate synthase (EC 2.5.1.72)	nadA Ccel_3480	WP_015926820.1;
B8I550	Y243_RUMCH	Nucleoid-associated protein Ccel_0243	Ccel_0243	WP_012634695.1;
B8I2Z9	Y1792_RUMCH	Putative regulatory protein Ccel_1792	Ccel_1792	WP_015925257.1;
B8I3J5	THIM_RUMCH	Hydroxyethylthiazole kinase (EC 2.7.1.50) (4-methyl-5-beta-hydroxyethylthiazole kinase) (TH kinase) (Thz kinase)	thiM Ccel_1990	WP_015925442.1;
B8I2B3	YIDD_RUMCH	Putative membrane protein insertion efficiency factor	Ccel_3489	WP_015926828.1;
B8I3J4	THIE_RUMCH	Thiamine-phosphate synthase (TP synthase) (TPS) (EC 2.5.1.3) (Thiamine-phosphate pyrophosphorylase) (TMP pyrophosphorylase) (TMP-PPase)	thiE Ccel_1989	WP_015925441.1;
B8I3B0	NUSB_RUMCH	Transcription antitermination protein NusB (Antitermination factor NusB)	nusB Ccel_1905	WP_015925358.1;
B8I6I0	Y490_RUMCH	UPF0229 protein Ccel_0490	Ccel_0490	WP_012634934.1;
B8I363	PDXS_RUMCH	Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1)	pdxS Ccel_1858	WP_015925311.1;
B8I0U9	TRPD_RUMCH	Anthranilate phosphoribosyltransferase (EC 2.4.2.18)	trpD Ccel_3215	WP_015926563.1;
B8I0T8	TYSY_RUMCH	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	thyA Ccel_1309	WP_015924811.1;
B8I0F9	Y3195_RUMCH	Uncharacterized protein Ccel_3195	Ccel_3195	WP_015926543.1;
B8I4X0	WHIA_RUMCH	Probable cell division protein WhiA	whiA Ccel_2287	WP_015925716.1;
B8I005	TRMB_RUMCH	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	trmB Ccel_1148	WP_015924660.1;
B8I2R5	PNP_RUMCH	Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	pnp Ccel_1707	WP_015925173.1;
B8I784	Y627_RUMCH	UPF0251 protein Ccel_0627	Ccel_0627	WP_015924177.1;
B8I447	ACKA_RUMCH	Acetate kinase (EC 2.7.2.1) (Acetokinase)	ackA Ccel_2136	WP_015925578.1;
B8I3U1	ACPS_RUMCH	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS Ccel_0030	WP_012634485.1;
B8I1A0	ARLY_RUMCH	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH Ccel_1344	WP_015924846.1;
B8I0P7	CBIM_RUMCH	Cobalt transport protein CbiM (Energy-coupling factor transporter probable substrate-capture protein CbiM) (ECF transporter S component CbiM)	cbiM Ccel_1266	WP_015924771.1;
B8I4B9	FTSH_RUMCH	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH Ccel_0085	WP_012634539.1;
B8I761	FOLD_RUMCH	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD Ccel_0604	WP_015924154.1;
B8I6E7	IF2_RUMCH	Translation initiation factor IF-2	infB Ccel_0457	
B8I8N7	ENGB_RUMCH	Probable GTP-binding protein EngB	engB Ccel_0898	WP_015924430.1;
B8I1Z8	MUTS2_RUMCH	Endonuclease MutS2 (EC 3.1.-.-)	mutS2 Ccel_1470	WP_015924966.1;
P17901	GUNA_RUMCH	Endoglucanase A (EC 3.2.1.4) (Cellulase A) (EGCCA) (Endo-1,4-beta-glucanase A)	celCCA Ccel_1099	WP_015924614.1;
P25472	GUND_RUMCH	Endoglucanase D (EC 3.2.1.4) (Cellulase D) (EGCCD) (Endo-1,4-beta-glucanase D)	celCCD Ccel_0840	WP_015924376.1;
