reaction	GPR	score	normalized_score
R_AGPR	WP_015926271.1	267.0	1.0
R_AGTi	WP_015924698.1	316.0	1.2
R_AHCYSNS	WP_015924860.1	140.0	0.5
R_AHCi	(WP_015924860.1 or WP_015925605.1)	457.0	1.7
R_AHMMPS_1	WP_015925016.1	179.0	0.7
R_AHSERL	(WP_012634859.1 and WP_015925414.1)	349.5	1.3
R_AHSERL2	(WP_015925414.1 or WP_015926673.1)	587.0	2.1
R_AICART	WP_015925618.1	582.0	2.1
R_AIRC2	WP_015925640.1	152.0	0.6
R_AIRC3	WP_015925640.1	152.0	0.6
R_AIRCr	WP_015925622.1	84.5	0.3
R_AIRCrb	WP_015925622.1	154.0	0.6
R_AKP1	WP_015924453.1	192.0	0.7
R_AL4D	WP_015926033.1	160.0	0.6
R_ALAALAabcpp	((WP_012634501.1 and WP_015925233.1 and WP_015925234.1) or (WP_012634501.1 and WP_015925234.1) or (WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	125.8	0.5
R_ALAALAr	WP_012634735.1	312.0	1.1
R_ALAGLUabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_ALAHISabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_ALALEUabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_ALAR	(WP_015924146.1 or WP_015926287.1)	398.0	1.5
R_ALATA_D	WP_015924474.1	196.0	0.7
R_ALATA_D2	WP_015925146.1	500.0	1.8
R_ALATA_L	WP_015925643.1	438.0	1.6
R_ALATA_L2	WP_015925146.1	500.0	1.8
R_ALATHRabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_ALATRPabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_ALAabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_ALCD19	(WP_015924426.1 or WP_015926546.1)	1426.0	5.2
R_ALCD19y	(WP_015924528.1 or WP_015926546.1 or WP_015926568.1)	1426.0	5.2
R_ALCD2x	WP_015926546.1	1426.0	5.2
R_ALCD2y	WP_015924528.1	194.0	0.7
R_ALCD4y	WP_015924598.1	288.0	1.1
R_ALDD2y	WP_015926678.1	223.0	0.8
R_ALDD3y	WP_015926678.1	223.0	0.8
R_ALGAC1	WP_242651764.1	57.333333333333336	0.2
R_ALGAC2	WP_242651764.1	86.0	0.3
R_ALGAC3	WP_242651764.1	57.333333333333336	0.2
R_ALGAC4	WP_242651764.1	57.333333333333336	0.2
R_ALGAC5	WP_242651764.1	57.333333333333336	0.2
R_ALKP	(WP_015924214.1 or WP_015924453.1)	192.0	0.7
R_ALLPI	WP_015925107.1	175.0	0.6
R_ALMPC	WP_015924783.1	369.0	1.3
R_ALR2	WP_015924528.1	190.0	0.7
R_ALR3	WP_015924528.1	190.0	0.7
R_AMANK	WP_015925627.1	102.0	0.4
R_AMANK_1	WP_015925722.1	267.0	1.0
R_AMAOTr	WP_015926606.1	199.0	0.7
R_AMID4	WP_015926061.1	151.0	0.6
R_AMPEP1	WP_015925375.1	318.0	1.2
R_AMPEP10	WP_015925375.1	318.0	1.2
R_AMPEP11	WP_015925375.1	318.0	1.2
R_AMPEP12	WP_015925375.1	318.0	1.2
R_AMPEP13	WP_015925375.1	318.0	1.2
R_AMPEP14	WP_015925375.1	318.0	1.2
R_AMPEP15	WP_015925375.1	318.0	1.2
R_AMPEP16	WP_015925375.1	318.0	1.2
R_AMPEP17	WP_015925375.1	318.0	1.2
R_AMPEP18	WP_015925375.1	318.0	1.2
R_AMPEP2	WP_015925375.1	318.0	1.2
R_AMPEP3	WP_015925375.1	318.0	1.2
R_AMPEP4	WP_015925375.1	318.0	1.2
R_AMPEP5	WP_015925375.1	318.0	1.2
R_AMPEP6	WP_015925375.1	318.0	1.2
R_AMPEP7	WP_015925375.1	318.0	1.2
R_AMPEP8	WP_015925375.1	318.0	1.2
R_AMPEP9	WP_015925375.1	318.0	1.2
R_AMPTASECG	((WP_015924322.1 and WP_015924322.1 and WP_015926703.1) or WP_015925375.1)	318.0	1.2
R_ANPRT	(WP_015926562.1 or WP_015926563.1)	315.0	1.1
R_ANS	((WP_015926561.1 and WP_015926562.1) or WP_015926561.1 or WP_015926562.1)	401.0	1.5
R_ANS2	((WP_015926561.1 and WP_015926562.1) or WP_015926561.1)	401.0	1.5
R_ANTDR	WP_015924249.1	971.0	3.5
R_AOBUTDs	spontaneous	0.0	0.0
R_AOXHEXCYCL	spontaneous	0.0	0.0
R_AP3S	WP_012634844.1	637.0	2.3
R_APATr	WP_015926606.1	197.0	0.7
R_APRAUR	WP_015925457.1	383.0	1.4
R_APSR	WP_015925646.1	54.5	0.2
R_ARABR	WP_015924528.1	190.0	0.7
R_ARAI	WP_015924551.1	135.0	0.5
R_ARBabc	(WP_015925555.1 and WP_015925556.1)	108.0	0.4
R_ARBt2r	WP_041706401.1	140.0	0.5
R_ARBt3ipp	WP_015924438.1	130.0	0.5
R_ARGDC	((WP_015924633.1 and WP_015924633.1) or WP_012634609.1 or WP_012634870.1)	526.5	1.9
R_ARGDr	WP_015926724.1	429.0	1.6
R_ARGSL	WP_015924846.1	550.0	2.0
R_ARGSS	WP_015924847.1	518.0	1.9
R_ARGabc	((WP_015926002.1 and WP_015926004.1) or WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_ARGabcpp	(WP_015924419.1 or WP_015925098.1)	120.5	0.4
R_AROH	WP_012634532.1	183.0	0.7
R_ASAD	WP_015926006.1	268.0	1.0
R_ASNN	WP_015925962.1	551.0	2.0
R_ASNS1	(WP_015925962.1 or WP_049756832.1)	551.0	2.0
R_ASNS2	WP_015925990.1	439.0	1.6
R_ASNabc	(WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_ASO3t4pp	WP_015926122.1	411.0	1.5
R_ASO4rt2rpp	WP_015925562.1	318.0	1.2
R_ASO4t4pp	WP_015926122.1	411.0	1.5
R_ASP1DC	(WP_015924500.1 or WP_015924557.1 or WP_015925250.1)	439.0	1.6
R_ASPCT	(WP_015924162.1 or WP_015924166.1)	1304.0	4.8
R_ASPK	(WP_015924079.1 or WP_015924083.1)	530.0	1.9
R_ASPO1	(WP_015925244.1 or WP_015926819.1)	394.0	1.4
R_ASPO2	WP_015926819.1	418.0	1.5
R_ASPO2y	WP_015926819.1	399.0	1.5
R_ASPO3	WP_015926819.1	379.0	1.4
R_ASPO5	WP_015926819.1	394.0	1.4
R_ASPO5_2	WP_015926819.1	392.0	1.4
R_ASPO6	WP_015926819.1	394.0	1.4
R_ASPTA	WP_015925417.1	452.0	1.6
R_ASPTA6	WP_015924698.1	339.0	1.2
R_ASPabc	((WP_015926002.1 and WP_015926003.1) or WP_015924418.1 or WP_015924419.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_ASPabcpp	(WP_015924690.1 or WP_015925098.1)	28.75	0.1
R_ATPHs	spontaneous	0.0	0.0
R_ATPPRT	WP_012634829.1	219.0	0.8
R_ATPS4rpp	WP_012634724.1	75.875	0.3
R_BALAALAabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_BALABALAabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_BALAGLYabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_BALALEUabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_BGLA	(WP_012634655.1 or WP_015925872.1)	373.0	1.4
R_BGLApp	WP_012634655.1	336.0	1.2
R_BG_CELLB	WP_012634822.1	272.0	1.0
R_BLAMDabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_BNOCA	WP_015926546.1	1426.0	5.2
R_BTCOARx	WP_015926546.1	1426.0	5.2
R_BTDD_RR	WP_015924472.1	183.0	0.7
R_BTNt2i	WP_015926579.1	126.0	0.5
R_BTS	WP_015926546.1	1426.0	5.2
R_BTS_nadph	WP_015926546.1	1367.0	5.0
R_BUP2	WP_015925187.1	291.0	1.1
R_BUPN	WP_015925187.1	291.0	1.1
R_BUTSO3abcpp	((WP_012634879.1 and WP_012634880.1 and WP_012634881.1) or WP_015924412.1 or WP_015925751.1)	218.66666666666666	0.8
R_BZt	spontaneous	0.0	0.0
R_CA2abc	(WP_015924556.1 or WP_015925883.1)	730.0	2.7
R_CA2abc1	WP_012634746.1	799.0	2.9
R_CA2abcpp	WP_015924556.1	402.0	1.5
R_CARNabcpp	((WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	62.8	0.2
R_CBMD	spontaneous	0.0	0.0
R_CBPS	((WP_015924165.1 and WP_015924166.1) or (WP_015926274.1 and WP_015926275.1) or WP_015924165.1 or WP_015924166.1 or WP_015926275.1)	854.0	3.1
R_CBPS_1	(WP_015924166.1 and WP_015926274.1)	775.5	2.8
R_CD2abc1	WP_012634686.1	680.0	2.5
R_CD2t4pp	WP_015924432.1	37.0	0.1
R_CD6P	(WP_015925658.1 or WP_015926027.1)	346.0	1.3
R_CDGUNPD	(WP_015924176.1 or WP_015924918.1 or WP_015925342.1)	353.0	1.3
R_CDHG	WP_012634892.1	179.0	0.7
R_CDPMEK	WP_012634477.1	275.0	1.0
R_CELBt2	WP_041706401.1	140.0	0.5
R_CEPA	WP_015925554.1	1209.0	4.4
R_CGLYabcpp	((WP_012634501.1 and WP_015925233.1 and WP_015925234.1) or (WP_012634501.1 and WP_015925234.1) or (WP_015925233.1 and WP_015925234.1) or WP_015925233.1)	125.8	0.5
R_CHLabc	((WP_015925751.1 and WP_015926674.1 and WP_015926675.1) or WP_012634647.1)	362.6666666666667	1.3
R_CHOLD3	WP_015926546.1	1367.0	5.0
R_CHOLSabc_1	WP_012634647.1	35.5	0.1
R_CHORM	(WP_012634532.1 or WP_015924949.1 or WP_015925086.1 or WP_015925196.1 or WP_015926242.1)	340.0	1.2
R_CHORS	WP_015925846.1	301.0	1.1
R_CITDAPPD	WP_015925928.1	175.0	0.6
R_CMCBTFL	WP_015924753.1	52.333333333333336	0.2
R_CMCBTFU	WP_015924753.1	52.333333333333336	0.2
R_CMCBTFexs	spontaneous	0.0	0.0
R_CO2t	spontaneous	0.0	0.0
R_CO2tex	spontaneous	0.0	0.0
R_CO2tpp	spontaneous	0.0	0.0
R_COBALTt4pp	WP_015924432.1	37.0	0.1
R_COBALTt5	(WP_015924432.1 or WP_015925453.1)	313.0	1.1
R_COHG	WP_012634892.1	179.0	0.7
R_COabc	((WP_015924329.1 and WP_015924331.1 and WP_015924332.1 and WP_015924771.1) or (WP_015924773.1 and WP_015924774.1) or WP_015924771.1 or WP_015926246.1)	231.2	0.8
R_COt_1	spontaneous	0.0	0.0
R_CPGNexs	spontaneous	0.0	0.0
R_CPPPGO	WP_015924405.1	143.0	0.5
R_CPPPGO2	(WP_015925432.1 or WP_242651714.1)	412.0	1.5
R_CRNDabcpp	WP_015925751.1	36.0	0.1
R_CRNabc	WP_012634647.1	35.5	0.1
R_CRNabcpp	WP_015925751.1	36.0	0.1
R_CRO4abcpp	WP_015925751.1	27.5	0.1
R_CRTNIH	WP_015924439.1	370.0	1.4
R_CS	(WP_015925614.1 or WP_015925986.1)	608.0	2.2
R_CSND	WP_015924439.1	394.0	1.4
R_CSPMDDC	WP_015924643.1	446.0	1.6
R_CSPMDDH	WP_015924642.1	515.0	1.9
R_CT6PT	(WP_015925658.1 or WP_015926027.1)	346.0	1.3
R_CTBTabc	WP_012634647.1	34.0	0.1
R_CTBTabcpp	WP_015925751.1	36.0	0.1
R_CTHG	WP_012634892.1	179.0	0.7
R_CTPS1	WP_012634743.1	781.0	2.9
R_CTPS2	WP_012634743.1	781.0	2.9
R_CYSDS	WP_015926533.1	365.0	1.3
R_CYSS	(WP_012634859.1 or WP_015926534.1)	407.0	1.5
R_CYSTL	WP_015926533.1	365.0	1.3
R_CYSabc	(WP_015924418.1 or WP_015924419.1 or WP_015925751.1 or WP_015926002.1 or WP_015926003.1)	327.0	1.2
R_CYSabcpp	((WP_015924417.1 and WP_015924419.1) or (WP_015924419.1 and WP_015925102.1))	133.66666666666666	0.5
R_CYTD	WP_015924131.1	135.0	0.5
R_CYTDK1	WP_015924933.1	495.0	1.8
R_CYTDK2	WP_015924933.1	495.0	1.8
R_CYTK1	WP_015925195.1	197.0	0.7
R_CYTK2	WP_015925195.1	197.0	0.7
R_CYTOM	WP_015925966.1	159.0	0.6
R_Cobalt2abcppI	WP_015924774.1	50.75	0.2
R_Cotpp	spontaneous	0.0	0.0
R_Cuabc	WP_015924291.1	776.0	2.8
R_Cut1	WP_015924291.1	790.0	2.9
R_DADK	WP_015924321.1	273.0	1.0
R_DAGK	WP_015926816.1	174.0	0.6
R_DAGK160	WP_012634505.1	107.0	0.4
R_DAPDA	WP_015924541.1	210.0	0.8
R_DAPDC	(WP_015925928.1 or WP_015925951.1 or WP_015926602.1)	240.0	0.9
R_DAPabcpp	WP_015924417.1	130.0	0.5
R_DARBt3ipp	WP_015924438.1	118.0	0.4
R_DASYN120	WP_012634903.1	228.0	0.8
R_DASYN140	WP_012634903.1	228.0	0.8
R_DASYN160	WP_012634903.1	228.0	0.8
R_DASYN161	WP_012634903.1	228.0	0.8
R_DASYN180	WP_012634903.1	228.0	0.8
R_DASYN181	WP_012634903.1	228.0	0.8
R_DATCY	WP_015924933.1	495.0	1.8
R_DATPHs	spontaneous	0.0	0.0
R_DATUP	WP_015924933.1	495.0	1.8
R_DB4PS	WP_015925455.1	516.0	1.9
R_DCMPDA	WP_012634713.1	228.0	0.8
R_DCTCP	WP_015924933.1	495.0	1.8
R_DCTPD	WP_012634713.1	228.0	0.8
R_DCTUP	WP_015924933.1	495.0	1.8
R_DCYTD	(WP_012634713.1 or WP_015924131.1)	228.0	0.8
R_DDGLK	WP_015925137.1	197.0	0.7
R_DDPA	(WP_015925086.1 or WP_015925518.1 or WP_015926242.1)	412.0	1.5
R_DDPA_1	WP_015925086.1	337.0	1.2
R_DDPGA	(WP_015925138.1 or WP_041707060.1)	250.0	0.9
R_DGK1	WP_207635556.1	206.0	0.8
R_DGNSK	WP_207635556.1	205.0	0.7
R_DGTCY	WP_015924933.1	495.0	1.8
R_DGTUP	WP_015924933.1	495.0	1.8
R_DGUNC	(WP_015924176.1 or WP_015925338.1 or WP_015925746.1)	353.0	1.3
R_DHAD1	(WP_012634754.1 or WP_015924769.1)	729.0	2.7
R_DHAD2	(WP_012634754.1 or WP_015924769.1)	729.0	2.7
R_DHAD3	WP_015924769.1	372.0	1.4
R_DHAK	WP_015924552.1	119.0	0.4
R_DHAPT	((WP_015925105.1 and WP_015925106.1) or WP_015925106.1)	69.33333333333333	0.3
R_DHBD	(WP_015924233.1 or WP_015925108.1)	260.0	0.9
R_DHBSZ3FEabcpp	WP_015926550.1	39.5	0.1
R_DHBSZ3FEexs	spontaneous	0.0	0.0
R_DHDPRy	(WP_015924074.1 or WP_015924080.1)	335.0	1.2
R_DHDPS	(WP_015924081.1 or WP_015924770.1 or WP_015925079.1)	361.0	1.3
R_DHFR	(WP_015924812.1 or WP_015925536.1)	270.0	1.0
R_DHFS	WP_015924945.1	365.0	1.3
R_DHGLYH	spontaneous	0.0	0.0
R_DHNAOT_1	WP_041706591.1	107.0	0.4
R_DHNCOAT	WP_015924958.1	101.0	0.4
R_DHNPA_1	WP_015924834.1	160.0	0.6
R_DHORD2	WP_015924168.1	155.5	0.6
R_DHORD5	(WP_015924167.1 and WP_015924168.1)	252.0	0.9
R_DHORDi	(WP_015924167.1 and WP_015924168.1)	238.5	0.9
R_DHORTS	WP_015924163.1	472.0	1.7
R_DHPPDA	WP_015925457.1	383.0	1.4
R_DHPS	WP_015924832.1	288.0	1.1
R_DHPS2	WP_015924832.1	302.0	1.1
R_DHPTDCs	spontaneous	0.0	0.0
R_DHPTDCs2	spontaneous	0.0	0.0
R_DHQS	WP_015925307.1	273.0	1.0
R_DHQTi	(WP_012634779.1 or WP_015925376.1)	686.0	2.5
R_DIPEPabc1	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc10	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc12	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc13	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc14	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc15	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc3	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DIPEPabc8	(WP_012634499.1 and WP_012634501.1 and WP_012634502.1 and WP_012634503.1)	297.75	1.1
R_DLYSabcpp	WP_015924419.1	61.5	0.2
R_DMATT	WP_015925355.1	255.0	0.9
R_DMPPS	WP_015925194.1	572.0	2.1
R_DNADDP	WP_015926298.1	181.0	0.7
R_DORNabcpp	WP_015924419.1	61.5	0.2
R_DPCOAK	WP_015925521.1	139.0	0.5
R_DPCOAK_1	WP_015925521.1	132.0	0.5
R_DPR	(WP_015925253.1 or WP_015926775.1)	445.0	1.6
R_DRIBabc	(WP_015925109.1 and WP_015925110.1 and WP_174258526.1)	212.75	0.8
R_DRPA	WP_015924546.1	258.0	0.9
R_DTMPK	WP_012634610.1	168.0	0.6
R_DTTGY	WP_015924933.1	495.0	1.8
R_DTTUP	WP_015924933.1	495.0	1.8
R_DURIPP	WP_015925216.1	477.0	1.7
R_DURIPP_1	(WP_015925216.1 or WP_015926721.1)	452.0	1.6
R_DUTCP	WP_015924933.1	495.0	1.8
R_DUTUP	WP_015924933.1	495.0	1.8
R_DXPRIi	WP_012634893.1	424.0	1.5
R_DXPS	WP_015925353.1	665.0	2.4
R_D_LACt2pp	WP_015925223.1	107.0	0.4
R_E4PD	WP_015925704.1	456.0	1.7
R_ECTOabcpp	WP_015924419.1	61.0	0.2
R_EDA	(WP_015925138.1 or WP_041707060.1)	250.0	0.9
R_EDD	WP_012634754.1	729.0	2.7
R_ENO	WP_015925687.1	603.0	2.2
R_ETHSO3abcpp	((WP_012634879.1 and WP_012634880.1 and WP_012634881.1) or WP_015924412.1)	218.66666666666666	0.8
R_ETOHtrpp	spontaneous	0.0	0.0
R_F1PP	WP_015925642.1	140.0	0.5
R_F6PP	WP_015925642.1	140.0	0.5
R_FA120ACPHi	WP_015924221.1	120.0	0.4
R_FACOAL100t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL120t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL140	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL140_ISO	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL140t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL141t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL150_ISO	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL150_anteiso	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL160	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL160_ISO	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL160t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL161	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL161t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL170_ISO	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL170_anteiso	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL180_2	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL180t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL181	(WP_015925315.1 or WP_015925933.1)	670.0	2.4
R_FACOAL181t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL60t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FACOAL80t2pp	(WP_015925315.1 or WP_015925889.1)	716.0	2.6
R_FADMQOR	(WP_015925075.1 and WP_242651783.1)	175.33333333333334	0.6
R_FADt	WP_012634885.1	203.0	0.7
R_FALDtpp	spontaneous	0.0	0.0
R_FALGTHLs	spontaneous	0.0	0.0
R_FAS100	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS120	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS140	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS160	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS161	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS180	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS181	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS200	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FAS80_L	(WP_015924495.1 and WP_015925108.1)	111.0	0.4
R_FASm220	WP_015924495.1	311.0	1.1
R_FASm240	WP_015924495.1	311.0	1.1
R_FASm260	WP_015924495.1	311.0	1.1
R_FASm280	WP_015924495.1	311.0	1.1
R_FBA	(WP_015925657.1 or WP_015925795.1)	369.0	1.3
R_FBA2	(WP_015925657.1 or WP_015925795.1)	341.0	1.2
R_FBA3	WP_015925657.1	341.0	1.2
R_FBACS	(WP_015924499.1 and WP_015924501.1 and WP_015925803.1)	928.5	3.4
R_FBACabcpp	WP_015925811.1	268.0	1.0
R_FBP	(WP_015925642.1 or WP_015925888.1)	157.0	0.6
R_FCLPA	WP_015924795.1	117.0	0.4
R_FE2Gabcpp	WP_015925449.1	342.0	1.2
